ProcessID: [3], Waiting Time [19.3], Turnaround Time: [4]
ProcessID: [4], Waiting Time [35.4], Turnaround Time: [7]
ProcessID: [6], Waiting Time [30.3], Turnaround Time: [8]
ProcessID: [9], Waiting Time [16.1], Turnaround Time: [19]
ProcessID: [2], Waiting Time [69.7], Turnaround Time: [15]
ProcessID: [1], Waiting Time [73.8], Turnaround Time: [17]
ProcessID: [10], Waiting Time [44.1], Turnaround Time: [18]
ProcessID: [8], Waiting Time [75.2], Turnaround Time: [20]
ProcessID: [7], Waiting Time [103.3], Turnaround Time: [18]
ProcessID: [5], Waiting Time [125.4], Turnaround Time: [20]
ProcessID: [11], Waiting Time [112.1], Turnaround Time: [2]
ProcessID: [12], Waiting Time [107.1], Turnaround Time: [18]
ProcessID: [13], Waiting Time [117.1], Turnaround Time: [9]
ProcessID: [14], Waiting Time [122.1], Turnaround Time: [17]
ProcessID: [15], Waiting Time [131.1], Turnaround Time: [11]
ProcessID: [16], Waiting Time [134.1], Turnaround Time: [10]
ProcessID: [17], Waiting Time [141.1], Turnaround Time: [15]
ProcessID: [18], Waiting Time [157.1], Turnaround Time: [5]
ProcessID: [19], Waiting Time [155.1], Turnaround Time: [17]
ProcessID: [20], Waiting Time [167.1], Turnaround Time: [12]
ProcessID: [21], Waiting Time [177.1], Turnaround Time: [5]
ProcessID: [22], Waiting Time [175.1], Turnaround Time: [9]
ProcessID: [23], Waiting Time [180.1], Turnaround Time: [4]
ProcessID: [24], Waiting Time [179.1], Turnaround Time: [7]
ProcessID: [25], Waiting Time [178.1], Turnaround Time: [10]
ProcessID: [26], Waiting Time [184.1], Turnaround Time: [3]
ProcessID: [27], Waiting Time [183.1], Turnaround Time: [20]
ProcessID: [28], Waiting Time [196.1], Turnaround Time: [6]
ProcessID: [29], Waiting Time [197.1], Turnaround Time: [14]
ProcessID: [30], Waiting Time [208.1], Turnaround Time: [4]
ProcessID: [31], Waiting Time [211.1], Turnaround Time: [1]
ProcessID: [32], Waiting Time [205.1], Turnaround Time: [3]
ProcessID: [33], Waiting Time [204.1], Turnaround Time: [2]
ProcessID: [34], Waiting Time [204.1], Turnaround Time: [13]
ProcessID: [35], Waiting Time [214.1], Turnaround Time: [2]
ProcessID: [36], Waiting Time [208.1], Turnaround Time: [17]
ProcessID: [37], Waiting Time [225.1], Turnaround Time: [3]
ProcessID: [38], Waiting Time [225.1], Turnaround Time: [15]
ProcessID: [39], Waiting Time [240.1], Turnaround Time: [17]
ProcessID: [40], Waiting Time [249.1], Turnaround Time: [3]
ProcessID: [41], Waiting Time [247.1], Turnaround Time: [5]
ProcessID: [42], Waiting Time [252.1], Turnaround Time: [17]
ProcessID: [43], Waiting Time [264.1], Turnaround Time: [9]
ProcessID: [44], Waiting Time [270.1], Turnaround Time: [19]
ProcessID: [45], Waiting Time [284.1], Turnaround Time: [5]
ProcessID: [46], Waiting Time [284.1], Turnaround Time: [4]
ProcessID: [47], Waiting Time [285.1], Turnaround Time: [1]
ProcessID: [48], Waiting Time [280.1], Turnaround Time: [15]
ProcessID: [49], Waiting Time [295.1], Turnaround Time: [8]
ProcessID: [50], Waiting Time [301.1], Turnaround Time: [4]
ProcessID: [51], Waiting Time [304.1], Turnaround Time: [16]
ProcessID: [52], Waiting Time [317.1], Turnaround Time: [1]
ProcessID: [53], Waiting Time [315.1], Turnaround Time: [4]
ProcessID: [54], Waiting Time [319.1], Turnaround Time: [9]
ProcessID: [55], Waiting Time [327.1], Turnaround Time: [3]
ProcessID: [56], Waiting Time [326.1], Turnaround Time: [14]
ProcessID: [57], Waiting Time [341.1], Turnaround Time: [3]
ProcessID: [58], Waiting Time [342.1], Turnaround Time: [13]
ProcessID: [59], Waiting Time [353.1], Turnaround Time: [16]
ProcessID: [60], Waiting Time [370.1], Turnaround Time: [9]
ProcessID: [61], Waiting Time [379.1], Turnaround Time: [4]
ProcessID: [62], Waiting Time [378.1], Turnaround Time: [3]
ProcessID: [63], Waiting Time [379.1], Turnaround Time: [12]
ProcessID: [64], Waiting Time [391.1], Turnaround Time: [9]
ProcessID: [65], Waiting Time [398.1], Turnaround Time: [14]
ProcessID: [66], Waiting Time [412.1], Turnaround Time: [2]
ProcessID: [67], Waiting Time [413.1], Turnaround Time: [3]
ProcessID: [68], Waiting Time [411.1], Turnaround Time: [20]
ProcessID: [69], Waiting Time [429.1], Turnaround Time: [10]
ProcessID: [70], Waiting Time [440.1], Turnaround Time: [4]
ProcessID: [71], Waiting Time [444.1], Turnaround Time: [19]
ProcessID: [72], Waiting Time [461.1], Turnaround Time: [5]
ProcessID: [73], Waiting Time [463.1], Turnaround Time: [11]
ProcessID: [74], Waiting Time [475.1], Turnaround Time: [6]
ProcessID: [75], Waiting Time [481.1], Turnaround Time: [19]
ProcessID: [76], Waiting Time [494.1], Turnaround Time: [11]
ProcessID: [77], Waiting Time [504.1], Turnaround Time: [3]
ProcessID: [78], Waiting Time [501.1], Turnaround Time: [5]
ProcessID: [79], Waiting Time [502.1], Turnaround Time: [13]
ProcessID: [80], Waiting Time [511.1], Turnaround Time: [10]
ProcessID: [81], Waiting Time [521.1], Turnaround Time: [8]
