ProcessID: [3], Waiting Time [19.3], Turnaround Time: [23.3]
ProcessID: [4], Waiting Time [35.4], Turnaround Time: [42.4]
ProcessID: [6], Waiting Time [30.3], Turnaround Time: [38.3]
ProcessID: [9], Waiting Time [16.1], Turnaround Time: [35.1]
ProcessID: [2], Waiting Time [69.7], Turnaround Time: [84.7]
ProcessID: [1], Waiting Time [73.8], Turnaround Time: [90.8]
ProcessID: [10], Waiting Time [44.1], Turnaround Time: [62.1]
ProcessID: [8], Waiting Time [75.2], Turnaround Time: [95.2]
ProcessID: [7], Waiting Time [103.3], Turnaround Time: [121.3]
ProcessID: [5], Waiting Time [125.4], Turnaround Time: [145.4]
ProcessID: [11], Waiting Time [112.1], Turnaround Time: [114.1]
ProcessID: [12], Waiting Time [107.1], Turnaround Time: [125.1]
ProcessID: [13], Waiting Time [117.1], Turnaround Time: [126.1]
ProcessID: [14], Waiting Time [122.1], Turnaround Time: [139.1]
ProcessID: [15], Waiting Time [131.1], Turnaround Time: [142.1]
ProcessID: [16], Waiting Time [134.1], Turnaround Time: [144.1]
ProcessID: [17], Waiting Time [141.1], Turnaround Time: [156.1]
ProcessID: [18], Waiting Time [157.1], Turnaround Time: [162.1]
ProcessID: [19], Waiting Time [155.1], Turnaround Time: [172.1]
ProcessID: [20], Waiting Time [167.1], Turnaround Time: [179.1]
ProcessID: [21], Waiting Time [177.1], Turnaround Time: [182.1]
ProcessID: [22], Waiting Time [175.1], Turnaround Time: [184.1]
ProcessID: [23], Waiting Time [180.1], Turnaround Time: [184.1]
ProcessID: [24], Waiting Time [179.1], Turnaround Time: [186.1]
ProcessID: [25], Waiting Time [178.1], Turnaround Time: [188.1]
ProcessID: [26], Waiting Time [184.1], Turnaround Time: [187.1]
ProcessID: [27], Waiting Time [183.1], Turnaround Time: [203.1]
ProcessID: [28], Waiting Time [196.1], Turnaround Time: [202.1]
ProcessID: [29], Waiting Time [197.1], Turnaround Time: [211.1]
ProcessID: [30], Waiting Time [208.1], Turnaround Time: [212.1]
ProcessID: [31], Waiting Time [211.1], Turnaround Time: [212.1]
ProcessID: [32], Waiting Time [205.1], Turnaround Time: [208.1]
ProcessID: [33], Waiting Time [204.1], Turnaround Time: [206.1]
ProcessID: [34], Waiting Time [204.1], Turnaround Time: [217.1]
ProcessID: [35], Waiting Time [214.1], Turnaround Time: [216.1]
ProcessID: [36], Waiting Time [208.1], Turnaround Time: [225.1]
ProcessID: [37], Waiting Time [225.1], Turnaround Time: [228.1]
ProcessID: [38], Waiting Time [225.1], Turnaround Time: [240.1]
ProcessID: [39], Waiting Time [240.1], Turnaround Time: [257.1]
ProcessID: [40], Waiting Time [249.1], Turnaround Time: [252.1]
ProcessID: [41], Waiting Time [247.1], Turnaround Time: [252.1]
ProcessID: [42], Waiting Time [252.1], Turnaround Time: [269.1]
ProcessID: [43], Waiting Time [264.1], Turnaround Time: [273.1]
ProcessID: [44], Waiting Time [270.1], Turnaround Time: [289.1]
ProcessID: [45], Waiting Time [284.1], Turnaround Time: [289.1]
ProcessID: [46], Waiting Time [284.1], Turnaround Time: [288.1]
ProcessID: [47], Waiting Time [285.1], Turnaround Time: [286.1]
ProcessID: [48], Waiting Time [280.1], Turnaround Time: [295.1]
ProcessID: [49], Waiting Time [295.1], Turnaround Time: [303.1]
ProcessID: [50], Waiting Time [301.1], Turnaround Time: [305.1]
ProcessID: [51], Waiting Time [304.1], Turnaround Time: [320.1]
ProcessID: [52], Waiting Time [317.1], Turnaround Time: [318.1]
ProcessID: [53], Waiting Time [315.1], Turnaround Time: [319.1]
ProcessID: [54], Waiting Time [319.1], Turnaround Time: [328.1]
ProcessID: [55], Waiting Time [327.1], Turnaround Time: [330.1]
ProcessID: [56], Waiting Time [326.1], Turnaround Time: [340.1]
ProcessID: [57], Waiting Time [341.1], Turnaround Time: [344.1]
ProcessID: [58], Waiting Time [342.1], Turnaround Time: [355.1]
ProcessID: [59], Waiting Time [353.1], Turnaround Time: [369.1]
ProcessID: [60], Waiting Time [370.1], Turnaround Time: [379.1]
ProcessID: [61], Waiting Time [379.1], Turnaround Time: [383.1]
ProcessID: [62], Waiting Time [378.1], Turnaround Time: [381.1]
ProcessID: [63], Waiting Time [379.1], Turnaround Time: [391.1]
ProcessID: [64], Waiting Time [391.1], Turnaround Time: [400.1]
ProcessID: [65], Waiting Time [398.1], Turnaround Time: [412.1]
ProcessID: [66], Waiting Time [412.1], Turnaround Time: [414.1]
ProcessID: [67], Waiting Time [413.1], Turnaround Time: [416.1]
ProcessID: [68], Waiting Time [411.1], Turnaround Time: [431.1]
ProcessID: [69], Waiting Time [429.1], Turnaround Time: [439.1]
ProcessID: [70], Waiting Time [440.1], Turnaround Time: [444.1]
ProcessID: [71], Waiting Time [444.1], Turnaround Time: [463.1]
